mots	semgram	lemfreq	surfreq	répartition
famille		84		45
chaque		83		61
que	(interrogatif)	83		40
mal	(nom.)	83		38
soixante		83		36
d'accord		82		38
partout		82		35
celui		81		48
ensuite		81		43
minute		81		43
pauvre		81		41
coucher		81		40
café		81		31
nos		80		52
métier		80		38
etc		80		30
exactement		79		49
docteur		79		39
tourner		79		36
conduire		79		24
fin	(nom.)	78		48
plaire		78		48
plein		78		47
somme	(fém.)	78		46
peur		78		42
maman		78		37
marier		78		35
préciosité		78		1
fond		77		44
simple		77		41
truc		77		39
terre		77		37
difficile		76		45
classe		76		36
pareil		75		49
recevoir		75		49
complètement		75		42
tel	(telle)	75		39
client		75		27
ceux		74		47
répondre		74		44
une	(pronom)	74		40
dieu		74		37
cinéma		74		28
autrement		73		51
cas		73		47
partie		73		46
vite		73		46
fait	(nom.)	72		43
simplement		72		43
porter		72		42
quelquefois		72		41
gagner		72		39
plusieurs		71		47
normal		71		39
oeil		71		31
journal		71		30
gare		71		22
âge		70		38
vos		70		37
froid		70		33
dormir		70		29
tandis que		69		45
dame	(personne)	69		43
possible		69		42
fils		69		39
apporter		69		37
boire		69		30
pourtant		68		44
lit		68		31
anglais	(nom. et adj.)	68		24
ni		67		38
dont		66		45
amener		66		43
autant		66		42
garder		66		41
lendemain		66		40
parents	(père et mère)	66		37
affaire		65		51
peine		65		45
ouvrir		65		43
cela		65		39
habiter		65		39
formidable		65		34
papier		65		29
ferme	(nom.)	65		15
reprendre		64		40
envoyer		64		38
kilomètre		64		28
foutre		64		25
américain	(nom et adj.)	64		22
vin		64		21
bas	(adj. et adv.)	63		44
présenter		63		36
soeur		63		32
copain		63		24
sens		62		39
couper		62		32
tour	(masc.)	62		29
mourir		62		26
tant		61		44
aucun		61		43
continuer		61		41
gentil		61		41
après-midi		61		36
joli		61		35
derrière	(adv. et prépos.)	61		33
du tout		61		32
chaud		61		31
dur		61		31
étude		61		29
précieux		61		2
genre		60		43
plaisir		60		42
personne	(pronom)	60		39
toucher	(verbe.)	60		34
espèce		60		33
fatiguer		60		31
région		60		27
livre	(masc.)	60		15
ensemble	(adv.)	59		42
table		59		30
forcément		59		28
haut		58		45
midi		58		41
fort	(adj.)	58		39
souvenir	(se)	58		37
merci		58		35
hier		58		34
tirer		58		33
car	(conj.)	58		31
celle		57		42
raison		57		35
où	(interrogation)	57		32
fil		57		15
entrer		56		43
poser		56		33
dessus		56		28
installer		56		27
ta		56		25
village		56		24
patron		56		21
coin		55		41
devenir		55		36
tout à l'heure		55		36
état		55		33
cuisine		55		32
préparer		55		28
eh		55		25
chien		55		19
médecin		55		18
en train de		54		39
enlever		54		38
dehors		54		35
porte		54		34
droit	(nom.)	54		33
endroit		54		33
lever		54		32
permettre		54		32
air	(atmosphère)	54		25
samedi		54		25
chanter		54		15
pour que		53		40
coeur		53		29
meilleur		52		38
quoi	(relatif)	52		38
habitude		52		37
tas		52		36
prochain	(adj.)	52		34
camarade		52		31
amuser	(et s'amuser)	52		30
bureau		52		28
campagne		52		28
rire		52		28
boîte	(sens propre)	52		22
remettre		51		38
deuxième		51		33
quart		51		33
montrer		51		33
hiver		51		28
frère		51		27
ceci		51		19
attention		50		38
retrouver		50		35
asseoir		50		34
effet		50		33
juste	(adv.)	50		32
retourner		50		30
là-dedans		50		29
chacun		50		28
chef		50		22
théâtre		50		22
public		50		17
aujourd'hui		49		33
milieu		49		32
intérieur		49		30
expliquer		49		27
quartier		49		25
voyage		49		24
sorte		48		36
n'importe		48		32
l'	(dans : l'on)	48		28
machine		48		23
magasin		48		15
animal	(nom.)	48		10
moyen	(nom.)	47		36
autour		47		30
noir		47		30
différent		47		29
emmener		47		27
particulier		47		27
micro		47		23
hôtel		47		22
repas		47		22
voix		47		11
suite		46		35
heureux		46		30
chauffer		46		18
mademoiselle		46		16
lieu		45		33
blanc	(nom. et adj.)	45		30
air	(avoir l'air)	45		29
quatorze		45		26
papa		45		23
lundi		45		21
disque		45		18
neige		45		18
instituteur		45		17
musique		45		13
manquer		44		33
aider		44		28
dépendre		44		28
jardin		44		28
fou	(nom. et adj.)	44		24
moderne		44		23
italien	(nom. et adj.)	44		20
directeur		44		19
tuer		44		18
confiance		44		17
réussir		43		31
pas du tout		43		28
cours		43		28
curieux		43		26
onze		43		26
appartement		43		25
oublier		43		24
lorsque		43		23
accident		43		16
église		43		15
espérer		42		34
assurer		42		33
douze		42		31
suivre		42		31
apercevoir		42		30
coûter		42		28
rencontrer		42		26
troisième		42		26
facilement		42		25
également		42		24
extrêmement		42		23
situation		42		22
quitter		42		22
